district,iec_district_id,iec_prov_id,map_accuracy,pc_code,pc_location,pc_name,province,ps_female,ps_male,ps_total,verification,lon,lat
Qadis,04,31,ولسوالی,3104086,Qooli Zardak,Qoole Zardak,Badghis,1,1,2,District,63.528907,34.761787
Gulistan,10,33,قریه,3310172,Qala-E-Kohna,Qala Kohna Boys Primary School,Farah,1,1,2,Village,63.673247,32.614563
Delaram,06,34,قریه,3406057,Dangar Abad,Dangar Abad,Nimroz,1,1,2,Village,63.558016,32.193492
Salang,06,03,تعمیر,0306064,Takhma,Takhma Mosque,Parwan,1,2,3,Building,69.222316,35.175362
Qadis,04,31,تعمیر,3104080,Nawa Mullah Gadah,Nawa Mullah Gadah Mosque,Badghis,1,1,2,Building,63.863211,34.715314
Surkhi Parsa,09,03,تعمیر,0309142,Lolenj,Ziarat-E-Shah Daleer Lolenj,Parwan,1,1,2,Building,68.646067,34.916357
Kabul-D01,01,01,تعمیر,0101013,Chendawol,Takya Khana-E-Umomi,Kabul,2,3,5,Building,69.175119,34.510870
Kabul-D11,01,01,تعمیر,0101244,Qala-E-Najarha,No.16Th Secondary School,Kabul,3,4,7,Building,69.133072,34.569500
Paghman,02,01,تعمیر,0102417,Orya Khel,Orya Khel Secondary School,Kabul,1,1,2,Building,68.964355,34.542780
Paghman,02,01,قریه,0102418,Chawk Arghandi,Saha-E-Kuchiha,Kabul,1,2,3,Village,68.949066,34.480051
Chahar Asyab,03,01,قریه,0103422,Nowniaz,Malik Khani House,Kabul,1,1,2,Village,69.117145,34.352292
Chahar Asyab,03,01,تعمیر,0103423,Bala Qala,Chahar Asyab Boys High School,Kabul,1,2,3,Building,69.145182,34.416898
Bagrami,04,01,تعمیر,0104459,Valayati,Shaheed Mohammad Arif Zarif Secondary School,Kabul,2,2,4,Building,69.200684,34.470105
Bagrami,04,01,تعمیر,0104460,Karez Bakr Village,Kariz Bakr Primary School,Kabul,1,2,3,Building,69.313333,34.467500
Dehsabz,05,01,تعمیر,0105472,Deh Sabz Khas,Deh Sabz-E-Khas Girls High School,Kabul,1,1,2,Building,69.394542,34.646101
Dehsabz,05,01,تعمیر,0105474,Qala-E-Zarin,Haji Ahmad Shah Mosque,Kabul,2,2,4,Building,69.262385,34.608370
Shakar Dara,06,01,تعمیر,0106394,Qala-E-Wazir,Dara-E-Shakar Dara High School,Kabul,3,4,7,Building,69.034440,34.685450
Shakar Dara,06,01,تعمیر,0106395,Qala-E-Murad Big,Qala-E-Murad Big High School,Kabul,3,3,6,Building,69.075415,34.667411
Qara Bagh,14,01,تعمیر,0114366,Denar Khel,Abdul Rahman Ba Ba Secondary School,Kabul,2,2,4,Building,69.184690,34.865889
Qara Bagh,14,01,تعمیر,0114367,District Capital,Abdul Wakil Shaheed High School,Kabul,2,3,5,Building,69.157209,34.843957
Surubi,15,01,تعمیر,0115479,Loy Kalai,Yar Del Orya Khel Mosque,Kabul,1,2,3,Building,69.719901,34.568687
Surubi,15,01,تعمیر,0115480,Loy Kalai,Tezen-E-Khas Primary School,Kabul,1,2,3,Building,69.579811,34.364842
Surubi,15,01,تعمیر,0115517,Guga Manda,Guga Manda School,Kabul,1,1,2,Building,69.595783,34.577766
Surubi,15,01,تعمیر,0115518,Sper Kundi,Sperkundi School,Kabul,1,1,2,Building,69.836244,34.662391
Surkh Rud,03,06,قریه,0603084,Du Saraka,Bakhtaan Clinic,Nangarhar,2,0,2,Village,70.402958,34.432591
Surkh Rud,03,06,تعمیر,0603085,Fateh Abad,Fateh Abad Clinic,Nangarhar,0,3,3,Building,70.223095,34.356573
